Part_Serial,Shaft_Diameter_mm,Target_Nominal,Fit_Class,Machine
SN-0073,29.9879,30.0,30_g6,CNC_LATHE_02
SN-0074,29.9918,30.0,30_g6,CNC_LATHE_02
SN-0075,29.9817,30.0,30_g6,CNC_LATHE_02
SN-0076,29.99,30.0,30_g6,CNC_LATHE_02
SN-0077,29.9882,30.0,30_g6,CNC_LATHE_02
SN-0078,29.9873,30.0,30_g6,CNC_LATHE_02
SN-0079,29.9882,30.0,30_g6,CNC_LATHE_02
SN-0080,29.9832,30.0,30_g6,CNC_LATHE_02
SN-0081,29.9875,30.0,30_g6,CNC_LATHE_02
SN-0082,29.9889,30.0,30_g6,CNC_LATHE_02
SN-0083,29.9915,30.0,30_g6,CNC_LATHE_02
SN-0084,29.9868,30.0,30_g6,CNC_LATHE_02
SN-0085,29.9861,30.0,30_g6,CNC_LATHE_02
SN-0086,29.9868,30.0,30_g6,CNC_LATHE_02
SN-0087,29.9902,30.0,30_g6,CNC_LATHE_02
SN-0088,29.9888,30.0,30_g6,CNC_LATHE_02
SN-0089,29.9867,30.0,30_g6,CNC_LATHE_02
SN-0090,29.9892,30.0,30_g6,CNC_LATHE_02
SN-0091,29.9882,30.0,30_g6,CNC_LATHE_02
SN-0092,29.9903,30.0,30_g6,CNC_LATHE_02
SN-0093,29.9863,30.0,30_g6,CNC_LATHE_02
SN-0094,29.9872,30.0,30_g6,CNC_LATHE_02
SN-0095,29.9871,30.0,30_g6,CNC_LATHE_02
SN-0096,29.9845,30.0,30_g6,CNC_LATHE_02
SN-0097,29.9887,30.0,30_g6,CNC_LATHE_02
SN-0098,29.9886,30.0,30_g6,CNC_LATHE_02
SN-0099,29.988,30.0,30_g6,CNC_LATHE_02
SN-0100,29.9874,30.0,30_g6,CNC_LATHE_02
